YEAR,RegionCode,Area_ha
2021,ON,687831.085672
2020,ON,13185.115149
2019,ON,225155.388524
2018,ON,221010.673198
2017,ON,94933.345368
2016,ON,77794.335206
2015,ON,38314.090128
2014,ON,11945.794407
2013,ON,40040.554411
2012,ON,109067.048846
2011,ON,457587.244861
2010,ON,13453.387926
2009,ON,17457.098481
2008,ON,1143.674503
2007,ON,31665.426786
2006,ON,119293.263302
2005,ON,47682.957393
2004,ON,1486.466301
2003,ON,293296.587429
2002,ON,170617.089623
2001,ON,11101.618077
2000,ON,15810.999369
1999,ON,276191.68849
1998,ON,190497.96433
1997,ON,34720.35005
1996,ON,380504.102347
1995,ON,548834.290386
1994,ON,74398.459245
1993,ON,57218.338808
1992,ON,126916.72801
1991,ON,245051.609446
1990,ON,146470.190347
1989,ON,387151.996601
1988,ON,300201.096365
1987,ON,90022.942128
1986,ON,121952.44079
1985,ON,346.153001
1984,ON,93578.445043
1983,ON,338345.423657
1982,ON,8033.899065
1981,ON,160107.844671
1980,ON,439773.010279
1979,ON,53203.947385
1978,ON,11246.49564
1977,ON,269744.512458
1976,ON,346927.685955
1975,ON,7457.601174
1974,ON,449461.883876
1973,ON,2231.597316
1972,ON,24217.720055
2024,PC,92589.440537
2023,PC,774388.558646
2022,PC,34323.808935
2021,PC,43060.129092
2020,PC,2280.475027
2019,PC,125191.826876
2018,PC,46650.732838
2017,PC,117243.809665
2016,PC,18372.919966
2015,PC,457058.495323
2014,PC,212384.325611
2013,PC,61118.542553
2012,PC,197265.636852
2011,PC,71532.420047
2010,PC,6730.88589
2009,PC,26093.996012
2008,PC,10792.661332
2007,PC,167849.887089
2006,PC,23580.869839
2005,PC,34332.496376
2004,PC,141327.260274
2003,PC,116392.370209
2002,PC,9157.746707
2001,PC,16422.787182
2000,PC,9205.625855
1999,PC,68935.09435
1998,PC,25827.631558
1997,PC,348.074541
1996,PC,13044.796522
1995,PC,6419.128592
1994,PC,62138.113316
1993,PC,2051.506839
1992,PC,1340.321448
1991,PC,3521.077904
1990,PC,26164.495831
1989,PC,1341.491278
1988,PC,669.649358
1987,PC,211.782612
1986,PC,4477.871682
1985,PC,2479.05595
1984,PC,25446.071862
1983,PC,5946.497919
1982,PC,9839.553756
1981,PC,648889.739245
1980,PC,255439.000368
1979,PC,62705.871931
1978,PC,0.009565
1977,PC,58572.755915
1976,PC,2906.431086
1975,PC,146.777329
1974,PC,320.836648
1973,PC,1074.640569
1972,PC,13.021623
2024,PE,21.051528
2024,QC,208466.217566
2023,QC,4266657.231382
2022,QC,28199.857015
2021,QC,49363.933784
2020,QC,51483.340908
2019,QC,8922.125169
2018,QC,83787.242188
2017,QC,30625.561844
2016,QC,35589.955679
2015,QC,5394.511517
2014,QC,53780.378261
2013,QC,1590119.247509
2012,QC,77713.982377
2011,QC,22111.36734
2010,QC,378181.004415
2009,QC,169563.839571
2008,QC,3452.480378
2007,QC,410944.788877
2006,QC,131791.634759
2005,QC,839589.639676
2004,QC,4605.218596
2003,QC,88259.141382
2002,QC,1178723.786062
2001,QC,30018.59708
2000,QC,60581.841345
1999,QC,131998.416901
1998,QC,375456.315645
1997,QC,508642.34266
1996,QC,690676.740758
